Sample ID,Ground Truth,Predicted Label,Results
1,hakka_stir-fried,hakka_stir-fried,Correct
2,mutton_fried_noodles,mutton_fried_noodles,Correct
3,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
4,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
5,fish_head_casserole,fish_head_casserole,Correct
6,braised_napa_cabbage,braised_napa_cabbage,Correct
7,braised_pork_over_rice,braised_pork_over_rice,Correct
8,beef_noodles,beef_noodles,Correct
9,peanut_brittle,peanut_brittle,Correct
10,rice_noodles_with_squid,rice_noodles_with_squid,Correct
11,ginger_duck_stew,ginger_duck_stew,Correct
12,jerky,jerky,Correct
13,mochi,mochi,Correct
14,kung-pao_chicken,kung-pao_chicken,Correct
15,taro_ball,taro_ball,Correct
16,potsticker,potsticker,Correct
17,scrambled_eggs_with_tomatoes,scrambled_eggs_with_tomatoes,Correct
18,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
19,rice_with_soy-stewed_pork,rice_with_soy-stewed_pork,Correct
20,grilled_taiwanese_sausage,grilled_corn,Incorrect
21,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
22,bubble_tea,bubble_tea,Correct
23,nougat,nougat,Correct
24,three-cup_chicken,three-cup_chicken,Correct
25,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
26,steam-fried_bun,steam-fried_bun,Correct
27,rice_noodles_with_squid,sesame_oil_chicken_soup,Incorrect
28,milkfish_belly_congee,milkfish_belly_congee,Correct
29,jelly_of_gravey_and_chicken_feet_skin,jelly_of_gravey_and_chicken_feet_skin,Correct
30,sishen_soup,sishen_soup,Correct
31,meat_dumpling_in_chili_oil,meat_dumpling_in_chili_oil,Correct
32,braised_napa_cabbage,braised_napa_cabbage,Correct
33,stir_fried_clams_with_basil,crab_migao,Incorrect
34,milkfish_belly_congee,milkfish_belly_congee,Correct
35,rice_noodles_with_squid,rice_noodles_with_squid,Correct
36,egg_pancake_roll,egg_pancake_roll,Correct
37,night_market_steak,cold_noodles,Incorrect
38,spicy_duck_blood,oyster_omelet,Incorrect
39,luwei,kung-pao_chicken,Incorrect
40,stir-fried_loofah_with_clam,stir-fried_loofah_with_clam,Correct
41,grilled_corn,grilled_corn,Correct
42,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
43,twist_roll,twist_roll,Correct
44,rice_dumpling,three-cup_chicken,Incorrect
45,hakka_stir-fried,hakka_stir-fried,Correct
46,bitter_melon_with_salted_eggs,bitter_melon_with_salted_eggs,Correct
47,sishen_soup,sishen_soup,Correct
48,hakka_stir-fried,hakka_stir-fried,Correct
49,stir-fried_pork_intestine_with_ginger,stir-fried_pork_intestine_with_ginger,Correct
50,mutton_fried_noodles,mutton_fried_noodles,Correct
51,jerky,jerky,Correct
52,steam-fried_bun,steam-fried_bun,Correct
53,steamed_taro_cake,steamed_taro_cake,Correct
54,roasted_sweet_potato,roasted_sweet_potato,Correct
